,pitcher_name,pitcher_id,sample_size,num_pitch_types,train_acc,test_acc,best_epoch,naive_est,improvement,overfit
226,2018 Jaime Barria,2018642545,2119.0,4.0,0.4984,0.5208,13.0,0.3587,0.1621,-0.02240000000000003
227,2018 Freddy Peralta,2018642547,1311.0,3.0,0.765,0.7988,17.0,0.775,0.0238,-0.03379999999999994
228,2018 Steven Brault,2018643230,1460.0,6.0,0.61,0.5973,17.0,0.4432,0.1541,0.012699999999999934
229,2018 Zack Godley,2018643327,2939.0,5.0,0.5944,0.5823,10.0,0.4015,0.1808,0.0121
230,2018 Chad Green,2018643338,1166.0,3.0,0.849,0.8699,16.0,0.8619,0.008,-0.02090000000000003
231,2018 Jack Flaherty,2018656427,2435.0,5.0,0.4951,0.5172,17.0,0.3984,0.1188,-0.02210000000000001
232,2018 Sean Newcomb,2018656794,2897.0,4.0,0.6828,0.6952,12.0,0.6262,0.069,-0.012400000000000078
233,2018 Trevor Hildenberger,2018657610,1055.0,4.0,0.6131,0.5379,18.0,0.3744,0.1635,0.07519999999999993
234,2018 Jordan Hicks,2018663855,1229.0,3.0,0.8067,0.8149,15.0,0.7657,0.0492,-0.008199999999999985
235,2018 Joey Lucchesi,2018664192,2014.0,3.0,0.755,0.7321,17.0,0.6365,0.0956,0.02290000000000003
236,2018 Shane Bieber,2018669456,1794.0,4.0,0.6112,0.6236,18.0,0.5747,0.0489,-0.012400000000000078
237,2018 Trevor Richards,2018670950,2164.0,3.0,0.6543,0.5952,17.0,0.5481,0.0471,0.05910000000000004
238,2019 CC Sabathia,2019282332,1711.0,5.0,0.636,0.6776,16.0,0.4196,0.258,-0.04159999999999997
239,2019 Adam Wainwright,2019425794,2693.0,5.0,0.53,0.5223,19.0,0.3672,0.1551,0.00770000000000004
240,2019 Zack Greinke,2019425844,2927.0,7.0,0.5207,0.5492,10.0,0.4144,0.1348,-0.02849999999999997
241,2019 Edwin Jackson,2019429719,1275.0,6.0,0.4937,0.4483,19.0,0.2769,0.1714,0.04540000000000005
242,2019 Cole Hamels,2019430935,2340.0,5.0,0.5601,0.5487,15.0,0.3547,0.194,0.011400000000000077
243,2019 Félix Hernández,2019433587,1179.0,5.0,0.5656,0.5119,19.0,0.3545,0.1574,0.05369999999999997
244,2019 Yusmeiro Petit,2019433589,1087.0,4.0,0.611,0.5625,19.0,0.4554,0.1071,0.04849999999999999
245,2019 Justin Verlander,2019434378,3149.0,4.0,0.5875,0.5876,9.0,0.497,0.0906,-9.999999999998899e-05
246,2019 Francisco Liriano,2019434538,1012.0,4.0,0.6693,0.5731,18.0,0.3478,0.2253,0.09619999999999995
247,2019 Aníbal Sánchez,2019434671,2688.0,7.0,0.5372,0.5387,18.0,0.2972,0.2415,-0.0014999999999999458
248,2019 Kenley Jansen,2019445276,1006.0,4.0,0.7798,0.75,18.0,0.7366,0.0134,0.02980000000000005
249,2019 Jesse Chavez,2019445926,1220.0,6.0,0.5694,0.5115,18.0,0.3713,0.1402,0.05790000000000006
250,2019 Ross Detwiler,2019446321,1081.0,6.0,0.5481,0.5277,17.0,0.3099,0.2178,0.020400000000000085
251,2019 Junior Guerra,2019448855,1188.0,4.0,0.5926,0.5522,11.0,0.3106,0.2416,0.04039999999999999
252,2019 Charlie Morton,2019450203,3059.0,5.0,0.5702,0.5608,19.0,0.3746,0.1862,0.009400000000000075
253,2019 Jason Vargas,2019450306,2456.0,4.0,0.5337,0.5814,10.0,0.3506,0.2308,-0.047700000000000076
254,2019 Jon Lester,2019452657,3052.0,5.0,0.5998,0.5819,16.0,0.3388,0.2431,0.017900000000000027
255,2019 Ian Kennedy,2019453178,1031.0,5.0,0.6805,0.6938,16.0,0.6693,0.0245,-0.013299999999999979
256,2019 Wade LeBlanc,2019453281,1915.0,5.0,0.6253,0.5511,19.0,0.3117,0.2394,0.07419999999999993
257,2019 Max Scherzer,2019453286,2674.0,5.0,0.5392,0.58,12.0,0.4843,0.0957,-0.04079999999999995
258,2019 Jake Arrieta,2019453562,2173.0,5.0,0.6544,0.6011,18.0,0.5545,0.0466,0.053300000000000014
259,2019 David Price,2019456034,1789.0,5.0,0.5377,0.4754,13.0,0.2756,0.1998,0.062299999999999967
260,2019 Homer Bailey,2019456701,2631.0,5.0,0.5971,0.6079,18.0,0.4781,0.1298,-0.010800000000000032
261,2019 J. A. Happ,2019457918,2619.0,5.0,0.613,0.5588,18.0,0.4857,0.0731,0.054200000000000026
262,2019 Lance Lynn,2019458681,3232.0,5.0,0.5912,0.6052,19.0,0.539,0.0662,-0.014000000000000012
263,2019 Josh Tomlin,2019458708,1065.0,5.0,0.5576,0.5768,19.0,0.4188,0.158,-0.019199999999999995
264,2019 Gio Gonzalez,2019461829,1390.0,4.0,0.6094,0.6149,16.0,0.318,0.2969,-0.005499999999999949
265,2019 Iván Nova,2019467100,2972.0,5.0,0.5029,0.5007,14.0,0.3651,0.1356,0.0021999999999999797
266,2019 Jhoulys Chacín,2019468504,1839.0,5.0,0.5591,0.5804,10.0,0.4883,0.0921,-0.021299999999999986
267,2019 Carlos Carrasco,2019471911,1277.0,5.0,0.5611,0.5375,18.0,0.3414,0.1961,0.023600000000000065
268,2019 Luis García,2019472610,1041.0,4.0,0.6436,0.5594,19.0,0.3439,0.2155,0.08419999999999994
269,2019 Brett Anderson,2019474463,2688.0,5.0,0.5714,0.5759,19.0,0.442,0.1339,-0.0044999999999999485
270,2019 Clayton Kershaw,2019477132,2452.0,4.0,0.6852,0.6672,13.0,0.4425,0.2247,0.018000000000000016
271,2019 Andrew Cashner,2019488768,2371.0,5.0,0.5748,0.5295,15.0,0.4547,0.0748,0.04530000000000001
272,2019 Wade Miley,2019489119,2752.0,6.0,0.6274,0.6105,14.0,0.4698,0.1407,0.016899999999999915
273,2019 Craig Stammen,2019489334,1198.0,5.0,0.6804,0.7433,19.0,0.7087,0.0346,-0.06289999999999996
274,2019 Adam Ottavino,2019493603,1078.0,4.0,0.5842,0.6333,11.0,0.4443,0.189,-0.04909999999999992
275,2019 José Quintana,2019500779,2667.0,4.0,0.57,0.5697,12.0,0.3637,0.206,0.00029999999999996696
276,2019 Michael Pineda,2019501381,2086.0,4.0,0.6145,0.6398,16.0,0.5465,0.0933,-0.02529999999999999
277,2019 Mike Minor,2019501985,3246.0,4.0,0.5333,0.5616,9.0,0.4495,0.1121,-0.028299999999999992
278,2019 Chris Archer,2019502042,2004.0,5.0,0.5496,0.515,14.0,0.3987,0.1163,0.034599999999999964
279,2019 Kyle Gibson,2019502043,2715.0,5.0,0.5049,0.4845,18.0,0.3227,0.1618,0.02040000000000003
280,2019 Jeff Samardzija,2019502188,2953.0,6.0,0.4788,0.4655,14.0,0.276,0.1895,0.013299999999999979
281,2019 Mike Leake,2019502190,2977.0,6.0,0.4722,0.4899,18.0,0.256,0.2339,-0.017699999999999994
282,2019 Trevor Cahill,2019502239,1617.0,5.0,0.5305,0.4938,17.0,0.282,0.2118,0.036699999999999955
283,2019 Chase Anderson,2019502624,2173.0,5.0,0.5463,0.5349,17.0,0.428,0.1069,0.011399999999999966
284,2019 Derek Holland,2019502706,1314.0,4.0,0.7472,0.7234,19.0,0.6157,0.1077,0.023799999999999932
285,2019 Brad Peacock,2019502748,1453.0,5.0,0.5546,0.5412,16.0,0.3166,0.2246,0.013399999999999967
286,2019 Yu Darvish,2019506433,2778.0,7.0,0.5506,0.541,14.0,0.4474,0.0936,0.009599999999999942
287,2019 Madison Bumgarner,2019518516,3110.0,5.0,0.6578,0.6247,18.0,0.4289,0.1958,0.03310000000000002
288,2019 Jake Diekman,2019518617,1110.0,4.0,0.7212,0.6367,18.0,0.4829,0.1538,0.08449999999999991
289,2019 Danny Duffy,2019518633,2097.0,5.0,0.556,0.5105,12.0,0.4425,0.068,0.045500000000000096
290,2019 Merrill Kelly,2019518876,3035.0,6.0,0.5066,0.5007,19.0,0.3727,0.128,0.005900000000000016
291,2019 Drew Pomeranz,2019519141,1855.0,5.0,0.6506,0.6293,11.0,0.5235,0.1058,0.021299999999999986
292,2019 Rick Porcello,2019519144,2797.0,5.0,0.4735,0.4571,12.0,0.3085,0.1486,0.01639999999999997
293,2019 Chris Sale,2019519242,2315.0,4.0,0.5058,0.5579,3.0,0.3853,0.1726,-0.052099999999999924
294,2019 Marcus Walden,2019519393,1169.0,4.0,0.5765,0.5188,18.0,0.367,0.1518,0.057699999999999974
295,2019 Brandon Workman,2019519443,1140.0,3.0,0.6468,0.593,18.0,0.4719,0.1211,0.05380000000000007
296,2019 Jordan Zimmermann,2019519455,1818.0,5.0,0.5055,0.4879,16.0,0.3443,0.1436,0.01759999999999995
297,2019 Pedro Báez,2019520980,1023.0,4.0,0.6232,0.5625,17.0,0.5073,0.0552,0.060699999999999976
298,2019 Liam Hendriks,2019521230,1282.0,5.0,0.7419,0.6885,15.0,0.6981,-0.0096,0.0534
299,2019 Wilmer Font,2019521655,1323.0,5.0,0.5363,0.5619,17.0,0.4724,0.0895,-0.025599999999999956
300,2019 Martín Pérez,2019527048,2585.0,5.0,0.5175,0.5394,10.0,0.3126,0.2268,-0.02190000000000003
301,2019 Julio Teheran,2019527054,2899.0,5.0,0.4816,0.4966,10.0,0.4143,0.0823,-0.015000000000000013
302,2019 Matt Andriese,2019542882,1030.0,5.0,0.6593,0.6434,16.0,0.4961,0.1473,0.015900000000000025
303,2019 Tyler Chatwood,2019543022,1167.0,5.0,0.6206,0.5925,18.0,0.3959,0.1966,0.028100000000000014
304,2019 Gerrit Cole,2019543037,3174.0,5.0,0.5676,0.5264,17.0,0.5151,0.0113,0.041200000000000014
305,2019 Anthony DeSclafani,2019543101,2586.0,5.0,0.5204,0.5502,16.0,0.3732,0.177,-0.02980000000000005
306,2019 Nathan Eovaldi,2019543135,1198.0,5.0,0.5356,0.5567,15.0,0.4265,0.1302,-0.021100000000000008
307,2019 Sam Gaviglio,2019543208,1400.0,4.0,0.619,0.5286,15.0,0.4414,0.0872,0.09040000000000004
308,2019 Sonny Gray,2019543243,2737.0,6.0,0.4927,0.5358,10.0,0.2857,0.2501,-0.04310000000000003
309,2019 Kyle Hendricks,2019543294,2636.0,4.0,0.653,0.6252,17.0,0.4158,0.2094,0.027800000000000047
310,2019 Daniel Hudson,2019543339,1079.0,4.0,0.6811,0.6778,17.0,0.6432,0.0346,0.0033000000000000806
311,2019 Jordan Lyles,2019543475,2244.0,5.0,0.5924,0.5722,16.0,0.5045,0.0677,0.020199999999999996
312,2019 Trevor May,2019543507,1048.0,5.0,0.6641,0.5916,18.0,0.6221,-0.0305,0.07250000000000001
313,2019 Collin McHugh,2019543521,1223.0,6.0,0.5594,0.5131,18.0,0.4334,0.0797,0.04630000000000001
314,2019 Tommy Milone,2019543548,1581.0,4.0,0.6194,0.6591,10.0,0.4409,0.2182,-0.03970000000000007
315,2019 Mike Montgomery,2019543557,1512.0,5.0,0.5653,0.537,17.0,0.2685,0.2685,0.028299999999999992
316,2019 Jake Odorizzi,2019543606,2647.0,4.0,0.6776,0.6541,15.0,0.5769,0.0772,0.023499999999999965
317,2019 Tanner Roark,2019543699,2731.0,5.0,0.4912,0.4319,18.0,0.3014,0.1305,0.05930000000000002
318,2019 Bryan Shaw,2019543766,1140.0,4.0,0.807,0.8035,18.0,0.7553,0.0482,0.0035000000000000586
319,2019 Stephen Strasburg,2019544931,3296.0,5.0,0.521,0.4709,18.0,0.3064,0.1645,0.05010000000000003
320,2019 Trevor Bauer,2019545333,3579.0,6.0,0.5503,0.5441,18.0,0.3817,0.1624,0.006199999999999983
321,2019 Michael Lorenzen,2019547179,1251.0,6.0,0.5352,0.524,19.0,0.2678,0.2562,0.011199999999999988
322,2019 Masahiro Tanaka,2019547888,2651.0,6.0,0.5644,0.54,19.0,0.3621,0.1779,0.024399999999999977
323,2019 Hyun Jin Ryu,2019547943,2606.0,6.0,0.5077,0.5245,13.0,0.2748,0.2497,-0.016799999999999926
324,2019 Ross Stripling,2019548389,1419.0,6.0,0.5874,0.4873,18.0,0.3594,0.1279,0.10010000000000002
325,2019 Zack Wheeler,2019554430,3044.0,6.0,0.4612,0.4402,15.0,0.2999,0.1403,0.02100000000000002
326,2019 Félix Peña,2019570240,1614.0,4.0,0.619,0.604,15.0,0.4294,0.1746,0.015000000000000013
327,2019 José Ureña,2019570632,1287.0,5.0,0.6777,0.6988,16.0,0.6333,0.0655,-0.021100000000000008
328,2019 Hansel Robles,2019570663,1092.0,4.0,0.6117,0.5934,19.0,0.489,0.1044,0.018299999999999983
329,2019 Luis Cessa,2019570666,1207.0,5.0,0.6298,0.5596,18.0,0.4954,0.0642,0.07020000000000004
330,2019 Matt Boyd,2019571510,2942.0,6.0,0.6505,0.6562,10.0,0.499,0.1572,-0.005700000000000038
331,2019 Patrick Corbin,2019571578,3205.0,5.0,0.5934,0.6035,8.0,0.3688,0.2347,-0.010099999999999998
332,2019 Buck Farmer,2019571656,1074.0,3.0,0.6571,0.5428,19.0,0.4888,0.054,0.11430000000000007
333,2019 Mike Fiers,2019571666,2712.0,5.0,0.4695,0.4897,17.0,0.3282,0.1615,-0.02020000000000005
334,2019 Andrew Heaney,2019571760,1645.0,3.0,0.7032,0.6893,14.0,0.5781,0.1112,0.013900000000000023
335,2019 Derek Law,2019571882,1146.0,4.0,0.5367,0.439,19.0,0.363,0.076,0.09769999999999995
336,2019 Steven Matz,2019571927,2640.0,4.0,0.6682,0.6364,18.0,0.5057,0.1307,0.03180000000000005
337,2019 Miles Mikolas,2019571945,2697.0,5.0,0.4347,0.4237,13.0,0.2714,0.1523,0.010999999999999954
338,2019 James Paxton,2019572020,2587.0,4.0,0.6918,0.6491,15.0,0.5995,0.0496,0.04269999999999996
339,2019 Tyler Skaggs,2019572140,1357.0,3.0,0.6745,0.6324,15.0,0.5048,0.1276,0.042100000000000026
340,2019 Dallas Keuchel,2019572971,1837.0,5.0,0.6536,0.6478,17.0,0.4905,0.1573,0.005799999999999916
341,2019 Marcus Stroman,2019573186,2970.0,5.0,0.5932,0.5922,19.0,0.364,0.2282,0.0010000000000000009
342,2019 Yusei Kikuchi,2019579328,2531.0,4.0,0.6301,0.624,19.0,0.4927,0.1313,0.006099999999999994
343,2019 Cam Bedrosian,2019592135,1003.0,3.0,0.6503,0.6016,15.0,0.4965,0.1051,0.048699999999999966
344,2019 Mike Foltynewicz,2019592314,1815.0,5.0,0.4974,0.4714,17.0,0.2821,0.1893,0.026000000000000023
345,2019 Kevin Gausman,2019592332,1579.0,4.0,0.6985,0.7215,18.0,0.5744,0.1471,-0.02300000000000002
346,2019 Chi Chi González,2019592346,1099.0,5.0,0.5413,0.4909,15.0,0.4177,0.0732,0.0504
347,2019 Jon Gray,2019592351,2313.0,5.0,0.6009,0.5889,18.0,0.5128,0.0761,0.01200000000000001
348,2019 Luke Jackson,2019592426,1062.0,4.0,0.6357,0.6466,16.0,0.5282,0.1184,-0.01089999999999991
349,2019 Adam Plutko,2019592644,1774.0,5.0,0.603,0.6059,14.0,0.5372,0.0687,-0.0029000000000000137
350,2019 Robbie Ray,2019592662,2967.0,4.0,0.5946,0.6105,6.0,0.4267,0.1838,-0.015900000000000025
351,2019 Adrian Sampson,2019592716,2024.0,4.0,0.6318,0.6186,16.0,0.54,0.0786,0.01319999999999999
352,2019 Aaron Sanchez,2019592717,2227.0,4.0,0.5144,0.5135,13.0,0.3655,0.148,0.0009000000000000119
353,2019 Caleb Smith,2019592761,2518.0,3.0,0.6568,0.6873,18.0,0.5389,0.1484,-0.03049999999999997
354,2019 Drew Smyly,2019592767,2120.0,5.0,0.644,0.6415,11.0,0.4585,0.183,0.0025000000000000577
355,2019 Ryne Stanek,2019592773,1228.0,3.0,0.6623,0.6775,19.0,0.557,0.1205,-0.015199999999999991
356,2019 Noah Syndergaard,2019592789,2905.0,5.0,0.4334,0.4085,17.0,0.2995,0.109,0.024900000000000033
357,2019 Vince Velasquez,2019592826,2037.0,4.0,0.6018,0.6333,8.0,0.6244,0.0089,-0.03149999999999997
358,2019 Trevor Williams,2019592866,2136.0,5.0,0.5493,0.5412,13.0,0.5178,0.0234,0.008099999999999996
359,2019 Asher Wojciechowski,2019592879,1402.0,4.0,0.6318,0.6068,18.0,0.5414,0.0654,0.025000000000000022
360,2019 Richard Rodríguez,2019593144,1084.0,4.0,0.797,0.8229,9.0,0.8155,0.0074,-0.025899999999999923
361,2019 Domingo Germán,2019593334,2199.0,4.0,0.5112,0.5127,11.0,0.3615,0.1512,-0.0015000000000000568
362,2019 Frankie Montas,2019593423,1489.0,4.0,0.5448,0.5174,18.0,0.3835,0.1339,0.02739999999999998
363,2019 Hector Neris,2019593576,1051.0,3.0,0.7766,0.7567,17.0,0.6603,0.0964,0.019899999999999918
364,2019 Gabriel Ynoa,2019593679,1711.0,5.0,0.5152,0.4883,16.0,0.3162,0.1721,0.02689999999999998
365,2019 Wander Suero,2019593833,1152.0,4.0,0.794,0.7951,18.0,0.7266,0.0685,-0.0010999999999999899
366,2019 Eduardo Rodriguez,2019593958,3187.0,6.0,0.5623,0.5358,11.0,0.3831,0.1527,0.026499999999999968
367,2019 Jacob deGrom,2019594798,3094.0,5.0,0.5918,0.5517,15.0,0.4796,0.0721,0.040100000000000025
368,2019 Marco Gonzales,2019594835,3065.0,4.0,0.5831,0.5293,19.0,0.3931,0.1362,0.05379999999999996
369,2019 Kyle Ryan,2019594986,1009.0,6.0,0.6323,0.6126,17.0,0.3588,0.2538,0.01969999999999994
370,2019 Tyler Beede,2019595881,1947.0,5.0,0.576,0.6242,11.0,0.5629,0.0613,-0.04820000000000002
371,2019 Jakob Junis,2019596001,2852.0,5.0,0.5241,0.5091,17.0,0.3335,0.1756,0.015000000000000013
372,2019 Daniel Mengden,2019596043,1020.0,6.0,0.4732,0.4431,19.0,0.3196,0.1235,0.030100000000000016
373,2019 Daniel Norris,2019596057,2238.0,5.0,0.5959,0.5839,19.0,0.45,0.1339,0.01200000000000001
374,2019 Dillon Peters,2019596071,1191.0,5.0,0.5812,0.5705,16.0,0.4509,0.1196,0.010700000000000043
375,2019 Luke Weaver,2019596133,1083.0,6.0,0.564,0.5387,15.0,0.5217,0.017,0.02529999999999999
376,2019 Matt Barnes,2019598264,1132.0,3.0,0.7256,0.636,19.0,0.5177,0.1183,0.08960000000000001
377,2019 Nick Ramirez,2019598286,1182.0,5.0,0.6219,0.5709,19.0,0.324,0.2469,0.051000000000000045
378,2019 Noé Ramirez,2019598287,1081.0,4.0,0.5988,0.5498,19.0,0.3654,0.1844,0.049000000000000044
379,2019 José Leclerc,2019600917,1161.0,5.0,0.5782,0.5086,19.0,0.4031,0.1055,0.0696
380,2019 Nick Pivetta,2019601713,1543.0,5.0,0.6214,0.5777,14.0,0.4867,0.091,0.04369999999999996
381,2019 Scott Barlow,2019605130,1291.0,5.0,0.5465,0.4954,14.0,0.433,0.0624,0.05109999999999998
382,2019 Chris Bassitt,2019605135,2301.0,6.0,0.5513,0.5625,11.0,0.4107,0.1518,-0.011199999999999988
383,2019 Archie Bradley,2019605151,1159.0,4.0,0.6525,0.6241,18.0,0.5884,0.0357,0.02839999999999998
384,2019 John Brebbia,2019605154,1164.0,3.0,0.6816,0.6289,19.0,0.5679,0.061,0.05269999999999997
385,2019 Aaron Brooks,2019605156,1850.0,5.0,0.5025,0.5011,19.0,0.2854,0.2157,0.0013999999999999568
386,2019 Dylan Bundy,2019605164,2708.0,5.0,0.5475,0.551,17.0,0.4254,0.1256,-0.0035000000000000586
387,2019 Mike Clevinger,2019605182,2030.0,5.0,0.5894,0.6594,12.0,0.5148,0.1446,-0.06999999999999995
388,2019 Zach Davies,2019605200,2608.0,5.0,0.6462,0.6396,19.0,0.5238,0.1158,0.00660000000000005
389,2019 Jace Fry,2019605240,1028.0,5.0,0.6641,0.5798,19.0,0.4932,0.0866,0.08430000000000004
390,2019 David Hess,2019605276,1302.0,5.0,0.5902,0.6074,16.0,0.5361,0.0713,-0.017200000000000104
391,2019 Adrian Houser,2019605288,1645.0,5.0,0.5045,0.5267,11.0,0.3702,0.1565,-0.022199999999999998
392,2019 Jorge López,2019605347,2013.0,5.0,0.4851,0.4524,19.0,0.3164,0.136,0.03269999999999995
393,2019 Joe Musgrove,2019605397,2534.0,6.0,0.4953,0.4874,18.0,0.3757,0.1117,0.007900000000000018
394,2019 Aaron Nola,2019605400,3239.0,4.0,0.5513,0.5086,19.0,0.3554,0.1532,0.04269999999999996
395,2019 Dereck Rodríguez,2019605446,1559.0,5.0,0.5329,0.5,17.0,0.4092,0.0908,0.03290000000000004
396,2019 Joe Ross,2019605452,1022.0,5.0,0.5509,0.543,18.0,0.3865,0.1565,0.007899999999999907
397,2019 Blake Snell,2019605483,1767.0,4.0,0.6038,0.6448,11.0,0.4839,0.1609,-0.041000000000000036
398,2019 Spencer Turnbull,2019605513,2540.0,5.0,0.5118,0.4724,12.0,0.4437,0.0287,0.039400000000000046
399,2019 Brandon Woodruff,2019605540,1928.0,5.0,0.4931,0.4793,12.0,0.3791,0.1002,0.013799999999999979
400,2019 Luis Perdomo,2019606131,1015.0,4.0,0.6859,0.6299,18.0,0.5271,0.1028,0.05599999999999994
401,2019 Giovanny Gallegos,2019606149,1097.0,3.0,0.6496,0.5745,19.0,0.5497,0.0248,0.07509999999999994
402,2019 Chris Devenski,2019606965,1022.0,3.0,0.6514,0.5977,19.0,0.4472,0.1505,0.05369999999999997
403,2019 Erick Fedde,2019607200,1225.0,5.0,0.646,0.6091,19.0,0.5469,0.0622,0.036900000000000044
404,2019 Joe Biagini,2019607352,1029.0,5.0,0.6096,0.5465,17.0,0.3421,0.2044,0.06310000000000004
405,2019 Kyle Freeland,2019607536,1796.0,5.0,0.5909,0.5902,15.0,0.4109,0.1793,0.0007000000000000339
406,2019 Seth Lugo,2019607625,1182.0,5.0,0.4763,0.4899,17.0,0.3342,0.1557,-0.013600000000000001
407,2019 John Means,2019607644,2504.0,4.0,0.6624,0.6534,14.0,0.5048,0.1486,0.009000000000000008
408,2019 Carlos Estévez,2019608032,1181.0,4.0,0.7186,0.6791,19.0,0.6791,0.0,0.03949999999999998
409,2019 Max Fried,2019608331,2657.0,6.0,0.6456,0.6271,17.0,0.5318,0.0953,0.01849999999999996
410,2019 Lucas Giolito,2019608337,2728.0,4.0,0.6212,0.6261,19.0,0.5495,0.0766,-0.0049000000000000155
411,2019 Michael Wacha,2019608379,2108.0,5.0,0.5914,0.537,18.0,0.4953,0.0417,0.054400000000000004
412,2019 Germán Márquez,2019608566,2557.0,5.0,0.5243,0.5063,19.0,0.3539,0.1524,0.018000000000000016
413,2019 Chris Stratton,2019608717,1125.0,6.0,0.6299,0.5638,19.0,0.5609,0.0029,0.06610000000000005
414,2019 Miguel Castro,2019612434,1186.0,3.0,0.6569,0.6734,18.0,0.4966,0.1768,-0.01649999999999996
415,2019 Wei-Yin Chen,2019612672,1105.0,5.0,0.6425,0.5632,18.0,0.4796,0.0836,0.07929999999999993
416,2019 Cal Quantrill,2019615698,1674.0,5.0,0.5179,0.4582,12.0,0.3638,0.0944,0.05970000000000003
417,2019 Jacob Waguespack,2019621097,1267.0,6.0,0.5263,0.489,19.0,0.3268,0.1622,0.0373
418,2019 Zach Eflin,2019621107,2474.0,6.0,0.5164,0.4701,19.0,0.3367,0.1334,0.04629999999999995
419,2019 Walker Buehler,2019621111,2727.0,6.0,0.5619,0.5968,9.0,0.5328,0.064,-0.03490000000000004
420,2019 Ty Buttrey,2019621142,1166.0,4.0,0.5961,0.6062,10.0,0.5772,0.029,-0.010099999999999998
421,2019 José Berríos,2019621244,3061.0,4.0,0.5024,0.4791,18.0,0.3244,0.1547,0.023299999999999932
422,2019 Matt Strahm,2019621381,1763.0,5.0,0.5696,0.5896,15.0,0.3681,0.2215,-0.020000000000000018
423,2019 Alex Young,2019622065,1240.0,6.0,0.5656,0.5742,19.0,0.2371,0.3371,-0.008600000000000052
424,2019 Luis Castillo,2019622491,2959.0,4.0,0.5674,0.5473,18.0,0.3227,0.2246,0.020100000000000007
425,2019 Antonio Senzatela,2019622608,2176.0,4.0,0.6201,0.6507,8.0,0.6158,0.0349,-0.03059999999999996
426,2019 Elieser Hernández,2019622694,1378.0,4.0,0.5828,0.5884,8.0,0.5334,0.055,-0.005600000000000049
427,2019 Josh Hader,2019623352,1055.0,3.0,0.8534,0.8712,18.0,0.8436,0.0276,-0.017799999999999927
428,2019 Thomas Pannone,2019623381,1153.0,4.0,0.6991,0.6886,18.0,0.6088,0.0798,0.010500000000000065
429,2019 Reynaldo López,2019625643,3029.0,4.0,0.5931,0.591,8.0,0.5867,0.0043,0.0020999999999999908
430,2019 Kenta Maeda,2019628317,2432.0,6.0,0.6031,0.6332,12.0,0.3388,0.2944,-0.030100000000000016
431,2019 Raisel Iglesias,2019628452,1042.0,4.0,0.5711,0.5441,18.0,0.3772,0.1669,0.027000000000000024
432,2019 Julio Urías,2019628711,1284.0,5.0,0.6667,0.6667,17.0,0.5857,0.081,0.0
433,2019 Yonny Chirinos,2019630023,1927.0,4.0,0.6699,0.7054,13.0,0.5532,0.1522,-0.035499999999999976
434,2019 Pablo López,2019641154,1726.0,4.0,0.5526,0.5139,18.0,0.4258,0.0881,0.03869999999999996
435,2019 Shaun Anderson,2019641312,1543.0,5.0,0.5333,0.5389,14.0,0.4485,0.0904,-0.005600000000000049
436,2019 Nestor Cortes,2019641482,1215.0,5.0,0.6575,0.5888,19.0,0.4716,0.1172,0.06869999999999998
437,2019 Dakota Hudson,2019641712,2757.0,5.0,0.5825,0.5696,17.0,0.4893,0.0803,0.012900000000000023
438,2019 Brad Keller,2019641745,2633.0,4.0,0.5451,0.5721,10.0,0.4155,0.1566,-0.027000000000000024
439,2019 Eric Lauer,2019641778,2479.0,5.0,0.6175,0.6065,11.0,0.5329,0.0736,0.01100000000000001
440,2019 Tyler Mahle,2019641816,1961.0,4.0,0.634,0.6497,12.0,0.5742,0.0755,-0.015700000000000047
441,2019 Glenn Sparkman,2019642098,2163.0,5.0,0.6104,0.6137,12.0,0.607,0.0067,-0.0032999999999999696
442,2019 Ryan Yarbrough,2019642232,2020.0,5.0,0.6462,0.6356,15.0,0.3589,0.2767,0.010599999999999943
443,2019 Gregory Soto,2019642397,1091.0,4.0,0.7531,0.7289,19.0,0.6352,0.0937,0.0242
444,2019 Jaime Barria,2019642545,1498.0,4.0,0.5218,0.5813,12.0,0.4706,0.1107,-0.0595
445,2019 Freddy Peralta,2019642547,1563.0,5.0,0.7329,0.7749,6.0,0.7754,-0.0005,-0.04200000000000004
446,2019 Ariel Jurado,2019642558,1944.0,5.0,0.5233,0.5062,16.0,0.4136,0.0926,0.017100000000000004
447,2019 Dario Agrazal,2019642607,1108.0,4.0,0.5993,0.657,19.0,0.5505,0.1065,-0.057699999999999974
448,2019 Steven Brault,2019643230,1874.0,6.0,0.6306,0.6226,16.0,0.508,0.1146,0.008000000000000007
449,2019 Paul Fry,2019643316,1004.0,3.0,0.66,0.7131,6.0,0.5209,0.1922,-0.053099999999999925
450,2019 Zack Godley,2019643327,1541.0,6.0,0.6182,0.6269,15.0,0.4121,0.2148,-0.008700000000000041
451,2019 Chad Green,2019643338,1138.0,3.0,0.7761,0.8035,19.0,0.7663,0.0372,-0.02739999999999998
452,2019 Sandy Alcantara,2019645261,2922.0,5.0,0.4829,0.4637,11.0,0.306,0.1577,0.019199999999999995
453,2019 Michael Soroka,2019647336,2384.0,4.0,0.552,0.5436,14.0,0.4539,0.0897,0.008400000000000074
454,2019 Jalen Beeks,2019656222,1755.0,5.0,0.5813,0.5945,11.0,0.4399,0.1546,-0.01319999999999999
455,2019 Griffin Canning,2019656288,1472.0,4.0,0.5489,0.481,18.0,0.4205,0.0605,0.06790000000000007
