,pitcher_name,pitcher_id,sample_size,num_pitch_types,train_acc,test_acc,best_epoch,naive_est,improvement,overfit
52,2018 Wade Miley,2018489119,1309.0,6.0,0.629,0.6341,18.0,0.4125,0.2216,-0.005099999999999993
53,2018 Sergio Romo,2018489265,1051.0,4.0,0.6764,0.673,16.0,0.5833,0.0897,0.0033999999999999586
54,2018 Craig Stammen,2018489334,1056.0,4.0,0.7146,0.7311,19.0,0.679,0.0521,-0.01649999999999996
55,2018 Seunghwan Oh,2018493200,1123.0,6.0,0.5843,0.6121,16.0,0.5067,0.1054,-0.027799999999999936
56,2018 Adam Ottavino,2018493603,1270.0,5.0,0.6576,0.6415,18.0,0.4709,0.1706,0.016100000000000003
57,2018 José Quintana,2018500779,2833.0,4.0,0.6149,0.6093,11.0,0.497,0.1123,0.005600000000000049
58,2018 Mike Minor,2018501985,2422.0,5.0,0.5683,0.6089,9.0,0.4827,0.1262,-0.04059999999999997
59,2018 Jeremy Jeffress,2018502026,1176.0,4.0,0.5374,0.5476,19.0,0.3214,0.2262,-0.010199999999999987
60,2018 Chris Archer,2018502042,2414.0,5.0,0.5436,0.5811,12.0,0.4171,0.164,-0.03749999999999998
61,2018 Kyle Gibson,2018502043,3135.0,5.0,0.4768,0.4885,10.0,0.3451,0.1434,-0.011699999999999988
62,2018 David Robertson,2018502085,1142.0,5.0,0.6904,0.6364,17.0,0.4221,0.2143,0.05400000000000005
63,2018 Alex Cobb,2018502171,2400.0,4.0,0.6789,0.6283,11.0,0.5158,0.1125,0.05059999999999998
64,2018 Mike Leake,2018502190,2714.0,6.0,0.4993,0.5037,18.0,0.3497,0.154,-0.004400000000000015
65,2018 Trevor Cahill,2018502239,1729.0,5.0,0.5725,0.5589,19.0,0.3858,0.1731,0.013600000000000056
66,2018 Héctor Santiago,2018502327,1686.0,5.0,0.6946,0.6517,18.0,0.6364,0.0153,0.04290000000000005
67,2018 Chase Anderson,2018502624,2522.0,5.0,0.4886,0.496,12.0,0.408,0.088,-0.007400000000000018
68,2018 Derek Holland,2018502706,2708.0,4.0,0.6529,0.6381,13.0,0.5694,0.0687,0.014800000000000035
69,2018 Brad Peacock,2018502748,1098.0,5.0,0.6124,0.5891,17.0,0.4062,0.1829,0.0233000000000001
70,2018 Alex Colomé,2018517008,1039.0,2.0,0.7522,0.7346,17.0,0.5544,0.1802,0.01759999999999995
71,2018 Chad Bettis,2018518452,1826.0,5.0,0.5449,0.5667,13.0,0.4053,0.1614,-0.02179999999999993
72,2018 Madison Bumgarner,2018518516,1942.0,5.0,0.6415,0.572,19.0,0.3507,0.2213,0.0695
73,2018 Steve Cishek,2018518553,1070.0,4.0,0.6783,0.597,19.0,0.5028,0.0942,0.08130000000000004
74,2018 Danny Duffy,2018518633,2678.0,5.0,0.4861,0.491,9.0,0.3801,0.1109,-0.0049000000000000155
75,2018 Matt Harvey,2018518774,2411.0,5.0,0.4784,0.4527,18.0,0.3019,0.1508,0.0257
76,2018 Craig Kimbrel,2018518886,1054.0,3.0,0.6734,0.6629,14.0,0.6423,0.0206,0.010499999999999954
77,2018 Matt Moore,2018519043,1705.0,4.0,0.6667,0.6651,15.0,0.5889,0.0762,0.0015999999999999348
78,2018 Drew Pomeranz,2018519141,1350.0,5.0,0.6729,0.5799,19.0,0.3956,0.1843,0.09300000000000008
79,2018 Rick Porcello,2018519144,3025.0,5.0,0.4638,0.4716,13.0,0.2972,0.1744,-0.007800000000000029
80,2018 Ryan Pressly,2018519151,1108.0,4.0,0.5499,0.5415,18.0,0.4088,0.1327,0.008400000000000074
81,2018 Chris Sale,2018519242,2449.0,4.0,0.5572,0.5905,9.0,0.3818,0.2087,-0.033299999999999996
82,2018 Jordan Zimmermann,2018519455,2019.0,5.0,0.5258,0.5267,13.0,0.4279,0.0988,-0.0008999999999999009
83,2018 Joe Kelly,2018523260,1118.0,5.0,0.543,0.575,18.0,0.5063,0.0687,-0.03199999999999992
84,2018 Martín Pérez,2018527048,1390.0,5.0,0.6075,0.6178,16.0,0.5043,0.1135,-0.010299999999999976
85,2018 Julio Teheran,2018527054,2758.0,5.0,0.5271,0.5014,15.0,0.4217,0.0797,0.025700000000000056
