game_year,game_pk,pitcher_id,pitcher_name,batter_id,batter_name,count,p_p1,p_p2,p_p3,p_p4,p_p5,p_p6,p_p7,b_p1,b_p2,b_p3,b_p4,b_p5,b_p6,b_p7,prev_pitch,pp_loc,prev_pitch_2,pp2_loc,prev_pitch_3,pp3_loc,pitch_number,count_code,inning,bat_stand,base_sit,outs_when_up,p_1,p_2,p_3,p_4,p_5,p_6,p_7
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.38666666666666666,0.14666666666666667,0.08,0.10666666666666667,0.14666666666666667,0.13333333333333333,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,1-0,0,0,0.2857142857142857,0,0,0.7142857142857143,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0,0.16666666666666666,0,6,8,0,0,0,0,2,3,2,1,0,1,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,1-1,0.09195402298850575,0,0.16091954022988506,0.011494252873563218,0,0.735632183908046,0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0,6,6,6,8,0,0,3,4,2,1,0,1,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,2-1,0.14285714285714285,0,0.25396825396825395,0,0,0.6031746031746031,0,0.25,0,0,0.25,0,0.5,0,6,14,6,6,6,8,4,8,2,1,0,1,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,2-2,0.17391304347826086,0.021739130434782608,0.32608695652173914,0,0,0.4782608695652174,0,0.3333333333333333,0,0,0.3333333333333333,0,0.3333333333333333,0,6,9,6,14,6,6,5,11,2,1,0,1,1,0,0,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,2-2,0.4772727272727273,0,0.22727272727272727,0.022727272727272728,0.045454545454545456,0.22727272727272727,0,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.3076923076923077,0,0.07692307692307693,0,1,5,6,9,6,14,6,11,2,1,0,1,1,0,0,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,2-2,0.4772727272727273,0,0.22727272727272727,0.022727272727272728,0.045454545454545456,0.22727272727272727,0,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.3076923076923077,0,0.07692307692307693,0,1,7,1,5,6,9,7,11,2,1,0,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,669257,Will Smith,3-2,0.20512820512820512,0,0.4358974358974359,0,0.02564102564102564,0.3333333333333333,0,0,0,1,0,0,0,0,3,14,1,7,1,5,8,12,2,1,0,1,0,0,1,0,0,0,0
2021,632432,2021489119,2021 Wade Miley,621035,Chris Taylor,0-0,0.07789855072463768,0.010869565217391304,0.625,0.009057971014492754,0.07246376811594203,0.20471014492753623,0,0.3125,0.125,0.041666666666666664,0.1875,0.15625,0.17708333333333334,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,1,0
2021,632432,2021489119,2021 Wade Miley,621035,Chris Taylor,0-1,0.07547169811320754,0,0.24528301886792453,0,0,0.6792452830188679,0,0.09090909090909091,0,0.18181818181818182,0.2727272727272727,0,0.45454545454545453,0,6,8,0,0,0,0,2,2,2,1,0,1,0,0,0,0,0,1,0
